"68","Ranticoot","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Tales of Berseria","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Bloodstained: Ritual","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Octopath Traveler","Shovel Knight","Devil May Cry 5","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Binding of Isaac Rebirth","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Dragon Ball FighterZ","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Uncharted 4","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Cuphead","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Kingdom Hearts III","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Final Fantasy XIV","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Red Dead Redemption 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","NieR: Automata","Zelda: Breath of the Wild","Resident Evil 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","Dark Souls","NieR: Automata","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Dark Souls","Zelda: Breath of the Wild","The Witcher 3: Wild Hunt","Zelda: Breath of the Wild","1735000","17","0","110","18","0"
"69","transience","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Hollow Knight","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Binding of Isaac Rebirth","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Dragon Ball FighterZ","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Uncharted 4","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Borderlands 2","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Undertale","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Super Meat Boy","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Uncharted 4","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Portal 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","NieR: Automata","Zelda: Breath of the Wild","Mass Effect 2","Super Mario Odyssey","Persona 4 Golden","The Witcher 3: Wild Hunt","Persona 5","Dark Souls","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Super Mario Odyssey","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","1900000","19","0","8","9","0"
"70","Paratroopa1","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Tales of Berseria","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Octopath Traveler","Shovel Knight","Devil May Cry 5","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Nioh","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Rocket League","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Sekiro: Shadows Die Twice","Dragon Quest XI","Mass Effect 2","Borderlands 2","Resident Evil 2","Bloodborne","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Bloodborne","SSB Ultimate","Super Mario Odyssey","Grand Theft Auto V","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Fallout: New Vegas","Persona 5","Red Dead Redemption 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Mass Effect 2","SSB Ultimate","Grand Theft Auto V","The Witcher 3: Wild Hunt","Persona 5","Dark Souls","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","3175000","18","0","47","11","0"
"71","AxemRedRanger","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Tales of Berseria","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Nioh","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Rocket League","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Rayman Legends","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Sekiro: Shadows Die Twice","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Portal 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Resident Evil 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","The Last of Us","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","2481632","18","0","47","9","0"
"72","plasmabeam","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Tales of Berseria","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Nioh","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Dragon Ball FighterZ","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Rayman Legends","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Borderlands 2","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Undertale","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Kingdom Hearts III","Animal Crossing: New Leaf","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Grand Theft Auto V","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Kingdom Hearts III","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Resident Evil 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","The Last of Us","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","The Witcher 3: Wild Hunt","Zelda: Breath of the Wild","2188878","18","0","47","10","0"
"73","BetrayedTangy","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Tales of Berseria","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Bloodstained: Ritual","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Binding of Isaac Rebirth","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Rocket League","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Cuphead","Red Dead Redemption","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Horizon Zero Dawn","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Red Dead Redemption","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Portal 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Resident Evil 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","The Last of Us","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","2470000","17","0","110","10","0"
"74","OrangeCrush980","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Hollow Knight","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Binding of Isaac Rebirth","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Rocket League","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Undertale","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Portal 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Mass Effect 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","The Last of Us","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","2428428","19","0","8","3","0"
"75","Seanchan","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Hollow Knight","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Binding of Isaac Rebirth","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Dragon Ball FighterZ","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Celeste","Hearthstone","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Undertale","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Animal Crossing: New Leaf","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Animal Crossing: New Leaf","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","NieR: Automata","Zelda: Breath of the Wild","Mass Effect 2","SSB Ultimate","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Persona 5","Dark Souls","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","The Witcher 3: Wild Hunt","Zelda: Breath of the Wild","2468101","19","0","8","8","0"
"76","JONALEON1","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Hollow Knight","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","Devil May Cry 5","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Nioh","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Dragon Ball FighterZ","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Rayman Legends","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Monster Hunter: World","Dragon Quest XI","Mass Effect 2","Horizon Zero Dawn","Resident Evil 2","Fire Emblem: Awakening","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Grand Theft Auto V","Persona 4 Golden","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Kingdom Hearts III","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Resident Evil 2","SSB Ultimate","Super Mario Odyssey","Persona 4 Golden","Xenoblade Chronicles","The Witcher 3: Wild Hunt","God of War","Persona 5","Kingdom Hearts III","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Mass Effect 2","SSB Ultimate","Xenoblade Chronicles","The Witcher 3: Wild Hunt","Persona 5","The Last of Us","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","The Witcher 3: Wild Hunt","Zelda: Breath of the Wild","2110000","19","0","8","13","0"
"77","gamer man","Zelda: Breath of the Wild","Halo: Reach","Final Fantasy XV","Hollow Knight","Monster Hunter: World","Sekiro: Shadows Die Twice","The Walking Dead","Dragon Quest XI","Mass Effect 2","Fallout 4","Borderlands 2","Horizon Zero Dawn","Resident Evil 2","DOOM","Fire Emblem: Awakening","Bloodborne","SSB Ultimate","Zelda: Link Between Worlds","Marvels Spider-Man","Minecraft","Undertale","Shovel Knight","DKC: Tropical Freeze","Super Mario Odyssey","Grand Theft Auto V","Cuphead","Persona 4 Golden","Red Dead Redemption","Xenoblade Chronicles","Overwatch","Dragon Age: Inquisition","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Mass Effect 3","Stardew Valley","Super Mario Galaxy 2","Fallout: New Vegas","Dark Souls III","Nioh","God of War","Persona 5","AC: Black Flag","Sonic Mania","Super Meat Boy","Portal 2","Kingdom Hearts III","Animal Crossing: New Leaf","Red Dead Redemption 2","Dark Souls","Rocket League","Yakuza 0","Metal Gear Solid V","Batman: Arkham City","BioShock Infinite","Diablo III","The Last of Us","Elder Scrolls: Skyrim","Journey","Final Fantasy XIV","Mario Kart 8","Pokemon HeartGold","Celeste","Divinity: Original Sin II","NieR: Automata","Zelda: Breath of the Wild","Final Fantasy XV","Sekiro: Shadows Die Twice","Dragon Quest XI","Mass Effect 2","Borderlands 2","Resident Evil 2","Bloodborne","SSB Ultimate","Marvels Spider-Man","Shovel Knight","Super Mario Odyssey","Grand Theft Auto V","Red Dead Redemption","Xenoblade Chronicles","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","Super Mario Galaxy 2","Fallout: New Vegas","God of War","Persona 5","Sonic Mania","Portal 2","Red Dead Redemption 2","Dark Souls","Metal Gear Solid V","Batman: Arkham City","The Last of Us","Elder Scrolls: Skyrim","Mario Kart 8","Pokemon HeartGold","NieR: Automata","Zelda: Breath of the Wild","Dragon Quest XI","Mass Effect 2","Bloodborne","SSB Ultimate","Super Mario Odyssey","Grand Theft Auto V","Fire Emblem: Three Houses","The Witcher 3: Wild Hunt","God of War","Persona 5","Portal 2","Dark Souls","The Last of Us","Elder Scrolls: Skyrim","Pokemon HeartGold","Zelda: Breath of the Wild","Bloodborne","SSB Ultimate","Grand Theft Auto V","The Witcher 3: Wild Hunt","Portal 2","Dark Souls","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","SSB Ultimate","The Witcher 3: Wild Hunt","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","Elder Scrolls: Skyrim","Zelda: Breath of the Wild","1888097","19","0","8","9","0"
